code,title,artist,url
9900096,Christmas song,back number,https://www.youtube.com/watch?v=A9TAtPYOdgI
9900097,Koi,back number,https://www.youtube.com/watch?v=1RlriAcQpJc
9900098,Mabataki,back number,https://www.youtube.com/watch?v=7xhaz3anRh4
9900099,Maku ga Agaru (The Unveiling),back number,https://www.youtube.com/watch?v=l-9t7ZNZRNM
9900100,Suiheisen,back number,https://www.youtube.com/watch?v=Kmy8oVqTsW8
9900101,Takane no Hanako-san,back number,https://www.youtube.com/watch?v=xpSWjQO3-NA
9900102,The Promise Of The World,Baishou Chieko,https://www.youtube.com/watch?v=GL4KSU-LHqU
9900103,Runner,BAKUFU-SLUMP,https://www.youtube.com/watch?v=AdoPPtalQkU
9900104,Charles(self cover),balloon,https://www.youtube.com/watch?v=DDh4u4VsGog
9900105,Shimanchunu takara,BEGIN,https://www.youtube.com/watch?v=GPOKoNIxx9U
9900106,Kokoro no Chizu,BOYSTYLE,https://www.youtube.com/watch?v=jrVHt1eO-1Y
9900107,Acacia,BUMP OF CHICKEN,https://www.youtube.com/watch?v=J93SoBnJxVs
9900108,SOUVENIR,BUMP OF CHICKEN,https://www.youtube.com/watch?v=sdSNwos7yfY
9900109,Tentai kansoku,BUMP OF CHICKEN,https://www.youtube.com/watch?v=6MnHLYG5gWw
9900110,FLY HIGH!!,BURNOUT SYNDROMES,https://www.youtube.com/watch?v=PnG5Xx16Goc
9900111,Hohoemi gaeshi,Candies,https://www.youtube.com/watch?v=2z0IzvLxFiU
9900112,Toshishita no Otokonoko (He's a cute younger boy),Candies,https://www.youtube.com/watch?v=Tah11YH85oo
9900113,BaiBai FIGHT!,CANDY TUNE,https://www.youtube.com/watch?v=u4WL52UoHks
9900114,Arrietty's Song,Cecile Corbel,https://www.youtube.com/watch?v=mMzFOv7u3U0
9900115,SAY YES,CHAGE & ASKA,https://www.youtube.com/watch?v=M-2TlCbGpow
9900116,^_^,Chanmina,https://www.youtube.com/watch?v=xgQuoMVrWtk
9900117,Dahlia,Chanmina,https://www.youtube.com/watch?v=n9pT6FUXFiA
9900118,Pain Is Beauty,Chanmina,https://www.youtube.com/watch?v=trpE4JsIG4M
9900119,Sad Song,Chanmina,https://www.youtube.com/watch?v=GdokYmRTbZw
9900120,KASSAI (BE-TWEEN STAGE),Chiaki Naomi,https://www.youtube.com/watch?v=gD67eGtPxjE
9900121,Pride Kakumei,CHiCO with HoneyWorks,https://www.youtube.com/watch?v=C994XZhCPb4
9900122,Sekai wa Koi ni Ochiteiru,CHiCO with HoneyWorks,https://www.youtube.com/watch?v=QjqjWB837hg
9900123,Yuuyake Koyake,Children's song,https://www.youtube.com/watch?v=aCuI8wYK8aM
9900124,Goodbye Sengen,Chinozo,https://www.youtube.com/watch?v=C7xnMT-EGB0
9900125,Anatano koibitoni naritai,Cho Q May,https://www.youtube.com/watch?v=82lfY79MOqU
9900126,Chousaikyou,Cho Tokimeki♡Sendenbu,https://www.youtube.com/watch?v=zuxBsKacGb0
9900127,Kokoronashi,Chouchou-P  feat.GUMI,https://www.youtube.com/watch?v=vX-0ZnT0R6M
9900128,I LOVE YOU,Chris Hart,https://www.youtube.com/watch?v=7iTTBi818jQ
9900129,Connect,ClariS,https://www.youtube.com/watch?v=_tNb4yLtVTE
9900130,BLOODY STREAM,Coda,https://www.youtube.com/watch?v=9zSHbLg3_l4
9900131,Bling-Bang-Bang-Born,Creepy Nuts,https://www.youtube.com/watch?v=ocbpwsl0GII
9900132,Daten,Creepy Nuts,https://www.youtube.com/watch?v=xLPmVYvOM4k
9900133,doppelgänger,Creepy Nuts,https://www.youtube.com/watch?v=4UXvuDw77dA
9900134,Nidone,Creepy Nuts,https://www.youtube.com/watch?v=bGP2HNHNSC0
9900135,Otonoke,Creepy Nuts,https://www.youtube.com/watch?v=-0FqHeJClmk
9900136,Ai wo torimodose !!,Crystal king,https://www.youtube.com/watch?v=ctMK8aAVwC4
9900137,Hitamuki Cinderella!,CUTIE STREET,https://www.youtube.com/watch?v=hckKDMA-VOI
9900138,Kawaii dake ja dame desu ka?,CUTIE STREET,https://www.youtube.com/watch?v=XlJxkqTwIYI
9900139,Lovetore (Love Train),CUTIE STREET,https://www.youtube.com/watch?v=wykqRh9vlQs
9900140,CITRUS,Da-iCE,https://www.youtube.com/watch?v=zUjFE7369Ek
9900141,I wonder,Da-iCE,https://www.youtube.com/watch?v=G1aIyou9OHI
9900142,Sorega Daiji (What's most precious),Daijiman Brothers Band,https://www.youtube.com/watch?v=A6K3ywVVl34
9900143,Moonlight densetsu (Moonlight Legend),DALI,https://www.youtube.com/watch?v=tWy8EtGRbho
9900144,Uchiage hanabi,DAOKO×Yonezu Kenshi,https://www.youtube.com/watch?v=zgmJSafGGLk
9900145,Monitoring,DECO*27,https://www.youtube.com/watch?v=w3kgMis8Md8
9900146,Telepathy,DECO*27,https://www.youtube.com/watch?v=f65pIFptf_Q
9900147,The Vampire feat. Hatsune Miku,DECO*27,https://www.youtube.com/watch?v=1eVkxHlrgb4
9900148,Rabbit Hole,DECO*27 feat. Hatsune Miku,https://www.youtube.com/watch?v=IsioIxy1pfc
9900149,[Karaoke] Konomama Kimi Dake wo Ubaisaritai,DEEN,https://www.youtube.com/watch?v=HroA2IJPxKo
9900150,Konomama Kimidake wo Ubaisaritai,DEEN,https://www.youtube.com/watch?v=WFtIBO2M7bU
9900151,Neko,DISH//,https://www.youtube.com/watch?v=yP0pEL0svqk
9900152,No.1,DISH//,https://www.youtube.com/watch?v=ajZ3Mpy_Uus
9900153,Just Be Friends,Dixie Flatline feat.MEGURINE LUKA,https://www.youtube.com/watch?v=wE5LibJapys
9900154,donten,DOES,https://www.youtube.com/watch?v=SivII2jf-0w
